Style,Full
Append Mode,1
Fill Mode,1
Capacity,100000
Count,10931
Base Time Seconds,1617724109
Base Time Fractional,.576746324
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds,Channel,Extra Values,Extra Unit,Extra Range Digits
81,0.0007371694749385,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.656746678,,n/a,n/a,n/a
82,0.0007430224084732,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.657746693,,n/a,n/a,n/a
83,0.0007253135326502,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.658746688,,n/a,n/a,n/a
84,0.0007455736871935,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.659746702,,n/a,n/a,n/a
85,0.0007895457263134,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.660746697,,n/a,n/a,n/a
86,0.0008272146062421,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.661746712,,n/a,n/a,n/a
87,0.0008660840879214,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.662746707,,n/a,n/a,n/a
88,0.0008732876984257,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.663746722,,n/a,n/a,n/a
89,0.0009072046978834,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.664746717,,n/a,n/a,n/a
90,0.000918760489734,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.665746732,,n/a,n/a,n/a
91,0.0009177099632022,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.666746727,,n/a,n/a,n/a
92,0.0009340681620556,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.667746742,,n/a,n/a,n/a
93,0.0009369195912136,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.668746737,,n/a,n/a,n/a
94,0.0009036028926313,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.669746732,,n/a,n/a,n/a
95,0.0008734377736446,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.670746747,,n/a,n/a,n/a
96,0.0008293156593058,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.671746742,,n/a,n/a,n/a
97,0.000795548735067,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.672746756,,n/a,n/a,n/a
98,0.0007838428679975,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.673746751,,n/a,n/a,n/a
99,0.0007595306825456,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.674746766,,n/a,n/a,n/a
100,0.0007448233110993,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.675746761,,n/a,n/a,n/a
101,0.0007400209040965,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.676746776,,n/a,n/a,n/a
102,0.0007364190988443,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.677746771,,n/a,n/a,n/a
103,0.0007250133822125,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.678746786,,n/a,n/a,n/a
104,0.0007505261694152,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.679746781,,n/a,n/a,n/a
105,0.0007914967041583,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.680746796,,n/a,n/a,n/a
106,0.0008215117479262,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.681746791,,n/a,n/a,n/a
107,0.000858130101323,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.682746806,,n/a,n/a,n/a
108,0.0008704362692678,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.683746801,,n/a,n/a,n/a
109,0.0008994007865038,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.684746815,,n/a,n/a,n/a
110,0.0009133577818558,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.685746810,,n/a,n/a,n/a
111,0.0009342182372745,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.686746825,,n/a,n/a,n/a
112,0.0009282152285209,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.687746820,,n/a,n/a,n/a
113,0.0009349686133687,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.688746835,,n/a,n/a,n/a
114,0.0009195108658282,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.689746830,,n/a,n/a,n/a
115,0.0008681851409852,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.690746825,,n/a,n/a,n/a
116,0.0008308164114942,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.691746840,,n/a,n/a,n/a
117,0.0008063541508234,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.692746835,,n/a,n/a,n/a
118,0.0007820419653714,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.693746850,,n/a,n/a,n/a
119,0.000767484669144,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.694746845,,n/a,n/a,n/a
120,0.0007503760941964,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.695746860,,n/a,n/a,n/a
121,0.0007412215058472,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.696746855,,n/a,n/a,n/a
122,0.0007281649618081,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.697746869,,n/a,n/a,n/a
123,0.0007275646609328,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.698746864,,n/a,n/a,n/a
124,0.0007476747402573,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.699746879,,n/a,n/a,n/a
125,0.000795548735067,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.700746874,,n/a,n/a,n/a
126,0.0008264642301479,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.701746889,,n/a,n/a,n/a
127,0.0008534777695389,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/06/2021,15:48:29,.702746884,,n/a,n/a,n/a
